date,high,low,open,close,volume
2018-05-10 00:00:00+05:30,984.6,974.25,980,981.15,4014645
2018-05-11 00:00:00+05:30,991.3,977.75,981.25,989.25,4011516
2018-05-14 00:00:00+05:30,991.95,976.7,991.95,986.6,2579561
2018-05-15 00:00:00+05:30,1000,976.65,983.05,978.95,4800923
2018-05-16 00:00:00+05:30,974,952.45,974,956.15,8613363
2018-05-17 00:00:00+05:30,960,941.5,959.35,945.35,4733477
2018-05-18 00:00:00+05:30,953.5,932,945.6,933.85,5230037
2018-05-21 00:00:00+05:30,935.7,922.1,930.75,931.35,6624893
2018-05-22 00:00:00+05:30,934,925,933.15,926.75,5170585
2018-05-23 00:00:00+05:30,926,909.15,926,912.25,4567562
2018-05-24 00:00:00+05:30,921,910.15,914,915.85,5317983
2018-05-25 00:00:00+05:30,923.4,914.45,916,920.8,8129520
2018-05-28 00:00:00+05:30,927,918.1,924.9,920.4,5197835
2018-05-29 00:00:00+05:30,928,914.4,921.5,917.45,8173396
2018-05-30 00:00:00+05:30,923.2,906.6,914.85,916.1,5991222
2018-05-31 00:00:00+05:30,922.3,914.55,921,921.35,16951801
2018-06-01 00:00:00+05:30,935.75,918.45,920,930.55,8765835
2018-06-04 00:00:00+05:30,944,930.55,933.4,940.85,5600357
2018-06-05 00:00:00+05:30,955,941,942.8,947.65,7971524
2018-06-06 00:00:00+05:30,956,942.65,947,954.4,4189483
2018-06-07 00:00:00+05:30,976,954.45,954.9,971.35,6857300
2018-06-08 00:00:00+05:30,986.55,960.6,966.35,984.35,6532599
2018-06-11 00:00:00+05:30,999.95,979.05,987.1,982.65,6866053
2018-06-12 00:00:00+05:30,1000,980.3,983.4,997.15,7445221
2018-06-13 00:00:00+05:30,1005.9,989.5,1000,1002.5,5926020
2018-06-14 00:00:00+05:30,1011.8,987.4,997.45,1007.95,5484867
2018-06-15 00:00:00+05:30,1023.5,999.25,1006,1014.2,11294702
2018-06-18 00:00:00+05:30,1020.45,1007,1008.8,1015.55,5652374
2018-06-19 00:00:00+05:30,1014.8,993.65,1013.9,996.05,6346101
2018-06-20 00:00:00+05:30,1022.9,994.85,996,1019.25,7193824
2018-06-21 00:00:00+05:30,1036,1021.3,1023.45,1031.95,10509756
2018-06-22 00:00:00+05:30,1029.2,1008.45,1028.4,1012.5,16169978
2018-06-25 00:00:00+05:30,1016.5,1002.3,1011.4,1004.45,5197694
2018-06-26 00:00:00+05:30,1006,975.25,1006,978.95,8068585
2018-06-27 00:00:00+05:30,985.4,962.7,978.5,965.85,8958555
2018-06-28 00:00:00+05:30,968.5,940.3,962,944.95,8581234
2018-06-29 00:00:00+05:30,975.5,949,949.1,972.45,7966401
2018-07-02 00:00:00+05:30,972.35,957,972.35,960.6,6660916
2018-07-03 00:00:00+05:30,978.45,960.35,965,971.3,5067261
2018-07-04 00:00:00+05:30,992,971,971.8,990.1,5000724
2018-07-05 00:00:00+05:30,1008.4,958.6,997,964.5,18719353
2018-07-06 00:00:00+05:30,983,964.5,964.75,977.55,9161266
2018-07-09 00:00:00+05:30,1000,983.5,987.1,997.1,5170189
2018-07-10 00:00:00+05:30,1028.5,1000,1002.75,1025.7,10444513
2018-07-11 00:00:00+05:30,1040.9,1017.85,1025,1038.8,8665072
2018-07-12 00:00:00+05:30,1099,1042.6,1044.35,1082.35,24109297
2018-07-13 00:00:00+05:30,1109,1080,1080.5,1099.8,17967282
2018-07-16 00:00:00+05:30,1108.9,1073.05,1099.8,1076.2,6595781
2018-07-17 00:00:00+05:30,1095.95,1069.6,1078.3,1092.35,6469256
2018-07-18 00:00:00+05:30,1104.6,1077.3,1098.4,1092.55,4682099
2018-07-19 00:00:00+05:30,1115,1086.35,1093.3,1104.85,5433617
2018-07-20 00:00:00+05:30,1138.5,1111.9,1113.4,1128.65,8018150
2018-07-23 00:00:00+05:30,1129.8,1113.1,1129.8,1120.3,5842496
2018-07-24 00:00:00+05:30,1126.75,1107.4,1122,1110.95,4469144
2018-07-25 00:00:00+05:30,1123,1104.2,1110,1115.15,5949680
2018-07-26 00:00:00+05:30,1121.5,1107.8,1110.1,1110.65,6424867
2018-07-27 00:00:00+05:30,1137.4,1112.15,1119.5,1129.85,6679468
2018-07-30 00:00:00+05:30,1157.3,1128,1130,1151.4,13872467
2018-07-31 00:00:00+05:30,1190.4,1147.15,1151,1186,13875377
2018-08-01 00:00:00+05:30,1202.9,1185.4,1190.4,1192.35,9704295
2018-08-02 00:00:00+05:30,1191.5,1165.95,1191.5,1168.35,6248975
2018-08-03 00:00:00+05:30,1183.5,1169.55,1175,1176.95,6645397
2018-08-06 00:00:00+05:30,1196,1175.35,1176.7,1192.6,4016418
2018-08-07 00:00:00+05:30,1201.4,1177,1194.9,1184.2,4059460
2018-08-08 00:00:00+05:30,1222.5,1185,1185,1217.7,7912437
2018-08-09 00:00:00+05:30,1231.7,1212,1221.5,1217.95,6846928
2018-08-10 00:00:00+05:30,1215,1202.3,1211,1204.2,3581210
2018-08-13 00:00:00+05:30,1199.95,1182.7,1197.55,1187.7,4668159
2018-08-14 00:00:00+05:30,1217.2,1184.3,1190,1210.6,5299536
2018-08-16 00:00:00+05:30,1216,1195.5,1203.25,1200.8,5982490
2018-08-17 00:00:00+05:30,1215.4,1200.05,1209,1203.75,3830992
2018-08-20 00:00:00+05:30,1236.8,1207.65,1207.9,1234.9,7607036
2018-08-21 00:00:00+05:30,1251.5,1227,1237.25,1247.2,7279641
2018-08-23 00:00:00+05:30,1274,1238.4,1246.3,1269.45,7968123
2018-08-24 00:00:00+05:30,1279.95,1260.05,1265.25,1277.5,6652005
2018-08-27 00:00:00+05:30,1295.85,1278.75,1279.4,1291.5,5572177
2018-08-28 00:00:00+05:30,1323,1295,1296,1319,8694751
2018-08-29 00:00:00+05:30,1329,1290.2,1316.3,1294.2,11077203
2018-08-30 00:00:00+05:30,1297.15,1270.45,1293.6,1274.45,9850042
2018-08-31 00:00:00+05:30,1270,1236.6,1270,1241.65,15305857
2018-09-03 00:00:00+05:30,1257.9,1226.05,1245,1229.15,12200022
2018-09-04 00:00:00+05:30,1254.8,1229,1235.15,1241.95,8838770
2018-09-05 00:00:00+05:30,1252.65,1208.5,1242.5,1227,10324923
2018-09-06 00:00:00+05:30,1265.7,1225.35,1230.15,1261.4,11195043
2018-09-07 00:00:00+05:30,1281.35,1254.5,1264.9,1278.6,10692787
2018-09-10 00:00:00+05:30,1277,1250.1,1275,1255.85,7059008
2018-09-11 00:00:00+05:30,1268.4,1234.25,1259,1237.7,10874768
2018-09-12 00:00:00+05:30,1258.7,1228.85,1251.8,1252.5,8065553
2018-09-14 00:00:00+05:30,1275.6,1247.65,1259.4,1253.15,7878583
2018-09-17 00:00:00+05:30,1250.75,1221.6,1250.75,1225.9,6754086
2018-09-18 00:00:00+05:30,1239.4,1214.35,1226,1217.15,7616412
2018-09-19 00:00:00+05:30,1224,1201,1224,1210.75,11265786
2018-09-21 00:00:00+05:30,1237.4,1183.5,1219,1217.5,19070172
2018-09-24 00:00:00+05:30,1239.9,1204.5,1214.45,1232.05,10102589
2018-09-25 00:00:00+05:30,1245,1195,1235.5,1230.6,9715020
2018-09-26 00:00:00+05:30,1253.95,1227.15,1239,1251.4,6396828
2018-09-27 00:00:00+05:30,1263,1237.5,1255,1253.75,10808749
2018-09-28 00:00:00+05:30,1271.7,1247.3,1259.9,1257.95,11073023
2018-10-01 00:00:00+05:30,1257.7,1204,1257.7,1231.7,7332693
2018-10-03 00:00:00+05:30,1239.6,1200.05,1229.5,1205.1,7376575
2018-10-04 00:00:00+05:30,1190.4,1106,1189.5,1122.25,23212443
2018-10-05 00:00:00+05:30,1115.3,1038.15,1099.5,1048.85,21943190
2018-10-08 00:00:00+05:30,1117,1025.55,1050,1109.4,24679428
2018-10-09 00:00:00+05:30,1123.3,1081.2,1121.65,1090.05,10991196
2018-10-10 00:00:00+05:30,1115.85,1084.3,1093.9,1102.1,9502176
2018-10-11 00:00:00+05:30,1114.75,1043,1064,1087.8,13224172
2018-10-12 00:00:00+05:30,1129,1101.9,1104.95,1126.55,9058536
2018-10-15 00:00:00+05:30,1146.9,1118.15,1129.9,1139.75,8871776
2018-10-16 00:00:00+05:30,1167.4,1140,1146,1163.8,7478601
2018-10-17 00:00:00+05:30,1179.35,1140,1179,1151.3,12785646
2018-10-19 00:00:00+05:30,1111,1070.25,1100,1101.3,25421229
2018-10-22 00:00:00+05:30,1114.8,1057.35,1110,1062.65,13165542
2018-10-23 00:00:00+05:30,1064.7,1043.65,1052.75,1054.7,10573730
2018-10-24 00:00:00+05:30,1075.95,1031.4,1074.9,1045.75,13655337
2018-10-25 00:00:00+05:30,1040.65,1016.4,1036,1030.8,14096237
2018-10-26 00:00:00+05:30,1057,1022,1032.9,1044.9,9182613
2018-10-29 00:00:00+05:30,1093.85,1046,1046,1087.8,7671807
2018-10-30 00:00:00+05:30,1085.5,1052.1,1085.5,1057,8806701
2018-10-31 00:00:00+05:30,1065.85,1047,1059,1061.25,16457691
2018-11-01 00:00:00+05:30,1067.9,1050,1067.9,1056.25,9396027
2018-11-02 00:00:00+05:30,1081,1063.15,1067,1074.9,16796200
2018-11-05 00:00:00+05:30,1092.7,1065,1073.45,1090.3,7582518
2018-11-06 00:00:00+05:30,1112,1091.6,1094,1104.1,8634266
2018-11-07 00:00:00+05:30,1115,1106.7,1115,1110.7,1283997
2018-11-09 00:00:00+05:30,1113.8,1085,1106.25,1093.45,10840462
2018-11-12 00:00:00+05:30,1098.8,1074.55,1097.7,1080,5801720
